level,node_tag,area_m2
P1,1,44.72363076923076
P1,2,38.201434615384606
P1,3,81.49639384615384
P1,4,39.75433846153845
P1,5,22.36181538461538
P1,6,18.63484615384615
P1,7,79.5086769230769
P1,8,37.2696923076923
P1,9,37.2696923076923
P1,10,40.810313076923066
P1,11,57.02262923076922
P1,12,94.60290230769229
P1,13,44.72363076923076
P1,14,32.4246323076923
P1,15,8.385680769230767
P1,16,49.56869076923076
P2,17,44.72363076923076
P2,18,38.201434615384606
P2,19,81.49639384615384
P2,20,39.75433846153845
P2,21,22.36181538461538
P2,22,18.63484615384615
P2,23,79.5086769230769
P2,24,37.2696923076923
P2,25,37.2696923076923
P2,26,40.810313076923066
P2,27,57.02262923076922
P2,28,94.60290230769229
P2,29,44.72363076923076
P2,30,32.4246323076923
P2,31,8.385680769230767
P2,32,49.56869076923076
P3,33,44.72363076923077
P3,34,38.20143461538462
P3,35,81.49639384615385
P3,36,39.75433846153847
P3,37,22.361815384615387
P3,38,18.634846153846155
P3,39,79.50867692307693
P3,40,37.26969230769231
P3,41,37.26969230769231
P3,42,27.952269230769232
P3,43,60.563250000000004
P3,44,34.66081384615385
P3,45,44.72363076923077
P3,46,78.57693461538462
P3,47,44.72363076923077
P3,48,10.062816923076923
P3,49,8.38568076923077
P3,50,17.88945230769231
P4,51,44.72363076923077
P4,52,38.20143461538462
P4,53,81.49639384615385
P4,54,39.75433846153847
P4,55,22.361815384615387
P4,56,18.634846153846155
P4,57,79.50867692307693
P4,58,37.26969230769231
P4,59,37.26969230769231
P4,60,27.952269230769232
P4,61,60.563250000000004
P4,62,34.66081384615385
P4,63,44.72363076923077
P4,64,78.57693461538462
P4,65,44.72363076923077
P4,66,10.062816923076923
P4,67,8.38568076923077
P4,68,17.88945230769231
