nodeTag,Rx_kN,Ry_kN,Rz_kN
1,28.172963826863043,10.038528865404166,67.96874999992501
2,-28.172963826863047,10.038528865404166,67.96874999992502
3,28.172963826863043,-10.03852886540416,67.96874999992502
4,-28.172963826863057,-10.03852886540416,67.96874999992504
