elementTag,Ni,Vyi,Vzi,Ti,Myi,Mzi,Nj,Vyj,Vzj,Tj,Myj,Mzj
1,67.96874999992501,-10.038528865404166,28.172963826863043,0.04809315697260919,-36.43943417123432,-13.05848516976374,-67.96874999992501,10.038528865404166,-28.172963826863043,-0.04809315697260919,-75.12550258314332,-26.694089137236755
2,67.96874999992502,-10.038528865404166,-28.172963826863047,-0.04809315697260732,36.439434171234325,-13.05848516976374,-67.96874999992502,10.038528865404166,28.172963826863047,0.04809315697260732,75.12550258314333,-26.694089137236755
3,67.96874999992502,10.03852886540416,28.172963826863043,-0.048093156972607694,-36.43943417123431,13.05848516976373,-67.96874999992502,-10.03852886540416,-28.172963826863043,0.048093156972607694,-75.12550258314333,26.694089137236745
4,67.96874999992504,10.03852886540416,-28.172963826863057,0.04809315697260828,36.439434171234346,13.05848516976373,-67.96874999992504,-10.03852886540416,28.172963826863057,-0.04809315697260828,75.12550258314334,26.694089137236745
5,28.172963826863047,0.05630333654859421,45.7031249999625,9.31909958461602,-75.12550258314326,0.10181210445021613,-28.172963826863047,-0.05630333654859421,-22.265624999962498,-9.31909958461602,-94.79637241666921,0.17970457829275494
6,28.17296382686306,-0.056303336548596095,-22.265624999962498,-9.31909958461602,94.79637241666921,-0.1797045782927585,-28.17296382686306,0.056303336548596095,45.7031249999625,9.31909958461602,75.12550258314326,-0.10181210445022197
7,28.172963826863047,-0.05630333654859537,45.703124999962526,-9.31909958461601,-75.12550258314332,-0.10181210445021971,-28.172963826863047,0.05630333654859537,-22.265624999962526,9.31909958461601,-94.7963724166693,-0.17970457829275716
8,28.172963826863057,0.05630333654859437,-22.265624999962533,9.31909958461601,94.79637241666929,0.1797045782927544,-28.172963826863057,-0.05630333654859437,45.70312499996253,-9.31909958461601,75.12550258314334,0.10181210445021742
9,9.982225528855565,3.4455197315953134e-16,22.265624999962498,-2.3989530827983865e-15,-17.374989552620733,-0.053718947477611134,-9.982225528855565,-3.4455197315953134e-16,22.265624999962498,2.3989530827983865e-15,17.374989552620736,0.05371894747761363
10,0.11260667309718973,7.421758337760884e-16,44.531249999924995,1.534289960770647e-15,-18.638199169232024,2.8079076701536416e-15,-0.11260667309718973,-7.421758337760884e-16,44.531249999924995,-1.534289960770647e-15,18.638199169232045,2.5728671247229994e-15
11,9.982225528855567,6.08708485915172e-16,22.265624999962498,-0.0,-17.374989552620733,0.05371894747761387,-9.982225528855567,-6.08708485915172e-16,22.265624999962498,0.0,17.374989552620733,-0.053718947477609455
