nodeTag,Ux_m,Uy_m,Uz_m,Rx_rad,Ry_rad,Rz_rad
5,1.1738734927859648e-05,3.015463961841768e-06,-2.197193877548596e-05,-5.397459225540715e-05,0.00015313328059971077,-5.409199572398553e-07
6,4.5447866511061787e-20,3.401659916474459e-08,-0.0009579362437897774,-0.00019920731305461778,-1.969892084428923e-21,-2.5006771111846462e-21
7,-1.1738734927859563e-05,3.015463961841757e-06,-2.1971938775485968e-05,-5.397459225540714e-05,-0.00015313328059971074,5.409199572398343e-07
8,1.173873492785974e-05,-3.0154639618418036e-06,-2.1971938775485968e-05,5.397459225540714e-05,0.00015313328059971082,5.409199572398385e-07
9,1.376263707438398e-19,-3.4016599164807545e-08,-0.0009579362437897778,0.00019920731305461765,-3.6640860029116266e-20,-4.867404825590421e-21
10,-1.173873492785947e-05,-3.0154639618418154e-06,-2.197193877548597e-05,5.397459225540714e-05,-0.00015313328059971074,-5.409199572398451e-07
