node,fx,fy,fz,mx,my,mz
1,40.453046242868574,-53.2140527124239,1337.7456986252344,43.685938692821914,45.15996106957698,-1.4425980571975057
2,272.8955924862031,19.965415014532113,1646.810039935065,-52.91095870676003,335.2669509320691,-1.4425980571975057
3,17.242681729924218,39.52295005609815,1791.568740867703,-78.72690496162718,5.309835268429431,-1.4425980571975057
4,31.422844505232774,127.60571204486729,1555.5901612995353,-205.3472121846238,24.027650131836722,-1.4425980571975057
5,-9.652513349710327,-12.90420514267832,664.0462755703331,-19.874121497063612,-20.97937759262716,-1.4425980571975057
6,-45.414549300621324,15.319527606651969,753.7914403853935,-57.12944872617959,-84.90243622653912,-1.4425980571975057
7,35.109721126972836,-32.73102693383467,1729.0474169712854,26.999406062905486,28.8943272725336,-1.4425980571975057
8,35.491364211588845,-4.887108305805867,1611.4588589297896,-9.754566526092535,21.893369609578293,-1.4425980571975057
9,-8.095037226580033,33.32512869386478,1620.6331680411238,-49.84365796783643,-35.640680288804624,-1.4425980571975057
10,-78.23022330210323,140.85001933233175,1416.5088182285763,-181.42545221279144,-128.21912590849522,-1.4425980571975057
11,69.83984312169576,-140.84083187879537,1978.591707642022,180.05540998807496,83.95032592840093,-1.4425980571975057
12,-4.867036748028209,13.731262498714289,1536.3735032313568,-23.97975459023778,-23.874993122467774,-1.4425980571975057
13,-14.813969206164884,-115.3683537225718,1510.1277754712696,136.08067742403847,-27.792706344375134,-1.4425980571975057
14,-140.11872872706437,-31.84162181035995,4307.6261663256055,4861.641793512295,28867.95099979135,-1.4425980571975057
15,-27.230513304595192,-1.1476321819658748,705.2382082193297,11.18697848499207,-60.89950871178463,-1.4425980571975057
16,-174.032522259622,2.614817441387211,1665.8839707195127,6.220544982165997,-247.17364101899952,-1.4425980571975057
